what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1359439158096
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1359439159334
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359439162618
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1359439173361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359439173716
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359439184225
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1359439186557
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359439188119
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359439188336
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359439191793
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1359439193747
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359439195180
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359439195324
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359439202641
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359439211666
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359439220463
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1359439223719
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1359439223930
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1359439227743
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1359439229495
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1359439230983
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1359439232646
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1359439234815
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359439283647
started,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1359439292081
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.1.v201201112313,"org.eclipse.wst.jsdt.debug.rhino.ui",1359439292149
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359439292590
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1359439292595
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1359439292595
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359439295640
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359439298789
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1359439298793
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1359439298793
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1359439300589
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1359439305811
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1359439307272
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1359439310865
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359439311183
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359439315279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359439318562
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359439320984
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359439321751
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359439322158
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359439322438
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359439326112
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1359439327780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1359439332209
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1359439333793
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359439334770
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359439341220
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1359501286639
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1359501286639
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1359501286701
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1359501286826
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1359501286920
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1359501286951
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1359501287044
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1359501287076
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1359501287107
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1359501287216
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1359501287294
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1359501287325
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1359501287466
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1359501287497
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1359501287590
